SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
MGipia1,0.500625,0.1499999999999999,0.00720955,0.00720955,0.00720955,0.00720955,0.00720955,0.00754998,0.00754998,0.00754998,0.00754998,0.00754998
MGipia1,16.02,0.19999999999999996,0.00110753,0.00103834,0.00114257,9.54748e-4,0.0011337,0.00114795,8.72999e-4,0.00113012,0.00113427,0.0012794
MGipia1,8.01,0.19999999999999996,0.0015342,0.00138676,0.00146828,0.00161637,0.00141988,0.00164324,0.00157318,0.0015725,0.00164062,0.00145568
MGipia1,4.005,0.19999999999999996,0.0022059,0.00228378,0.00246983,0.00224733,0.00214535,0.00227029,0.00256868,0.00226347,0.00224279,0.00224436
MGipia1,2.0025,0.19999999999999996,0.00342599,0.00342599,0.00360059,0.00360059,0.00351894,0.00351894,0.00322178,0.00322178,0.0033519,0.0033519
MGipia1,1.00125,0.19999999999999996,0.00516786,0.00516786,0.00516786,0.00516786,0.00504896,0.00504896,0.00504896,0.00504896,0.00504896,0.00487539
MGipia1,0.500625,0.19999999999999996,0.00750939,0.00750939,0.00750939,0.00750939,0.00750939,0.00750939,0.00700596,0.00700596,0.00700596,0.00700596
MGipia1,16.02,0.2499999999999999,0.00122004,9.86209e-4,0.00123473,0.00147076,0.00143741,0.0013403,0.00129689,0.0014503,0.00129315,0.00121261
MGipia1,8.01,0.2499999999999999,0.00191402,0.00155169,0.00182997,0.00181965,0.00165561,0.00178908,0.00204842,0.00195682,0.00171387,0.00165194
MGipia1,4.005,0.2499999999999999,0.00252422,0.00245494,0.00278362,0.00276753,0.00279284,0.00267608,0.0025496,0.00235408,0.00244926,0.00242073
MGipia1,2.0025,0.2499999999999999,0.00339573,0.00344176,0.00373362,0.00373362,0.00373362,0.00355868,0.00388283,0.00388283,0.00387824,0.00387824
MGipia1,1.00125,0.2499999999999999,0.00554793,0.00528269,0.00528269,0.00528269,0.00528269,0.00528269,0.00509346,0.00509346,0.00509346,0.00509346
MGipia1,0.500625,0.2499999999999999,0.00704082,0.00704082,0.00718547,0.00718547,0.00718547,0.00718547,0.00718547,0.00718547,0.00718547,0.00713818
MGipia1,16.02,0.29999999999999993,0.00195935,0.00233629,0.00232404,0.00185813,0.00202526,0.00191639,0.00138274,0.0019936,0.00254969,0.00225593
