Ntotal,S_obs,p,lado_km,SiteCode
4137,384,0.6975269309109129,18.18,MGlavr3
4137,384,0.6982101585595271,18.3,MGlavr3
4137,384,0.6988137805175652,18.42,MGlavr3
4137,384,0.6994244928310345,18.54,MGlavr3
4137,384,0.699915220065963,18.66,MGlavr3
4137,384,0.7000352152211414,18.78,MGlavr3
4137,384,0.6999748047367095,18.9,MGlavr3
4137,384,0.699691010956423,19.02,MGlavr3
4137,384,0.6994649227110583,19.14,MGlavr3
4137,384,0.6989717685193273,19.26,MGlavr3
4137,384,0.6983772488953215,19.38,MGlavr3
4137,384,0.6979455621301776,19.5,MGlavr3
4137,384,0.6974838444201292,19.62,MGlavr3
4137,384,0.6968616328378341,19.74,MGlavr3
4137,384,0.696313012842161,19.86,MGlavr3
4137,384,0.695756567378189,19.98,MGlavr3
4137,384,0.6949365114724882,20.1,MGlavr3
4137,384,0.6940208155394518,20.22,MGlavr3
4137,384,0.6930130263398334,20.34,MGlavr3
4137,384,0.6921616601164421,20.46,MGlavr3
4137,384,0.6913382179194043,20.58,MGlavr3
4137,384,0.6903990758244066,20.7,MGlavr3
4137,384,0.6892549560248818,20.82,MGlavr3
4137,384,0.6880423806044286,20.94,MGlavr3
4137,384,0.6869100088473308,21.06,MGlavr3
4137,384,0.6858312802446052,21.18,MGlavr3
4137,384,0.6846954969252133,21.3,MGlavr3
4137,384,0.6836872003703443,21.42,MGlavr3
4137,384,0.6827713161753866,21.54,MGlavr3
4137,384,0.6819794967810253,21.66,MGlavr3
4137,384,0.6814235518217486,21.78,MGlavr3
4137,384,0.6807431037718146,21.9,MGlavr3
4137,384,0.6800388301940025,22.02,MGlavr3
4137,384,0.6793116237395437,22.14,MGlavr3
4137,384,0.6786967546007368,22.26,MGlavr3
1393,89,1,0.3,MGuberl1
1393,89,1,0.42,MGuberl1
1393,89,1,0.54,MGuberl1
1393,89,1,0.66,MGuberl1
1393,89,1,0.78,MGuberl1
1393,89,0.9933333333333333,0.9,MGuberl1
1393,89,0.9757785467128027,1.02,MGuberl1
1393,89,0.9598337950138505,1.14,MGuberl1
1393,89,0.9427437641723356,1.26,MGuberl1
1393,89,0.9310018903591682,1.38,MGuberl1
1393,89,0.9144,1.5,MGuberl1
1393,89,0.894718792866941,1.62,MGuberl1
1393,89,0.8849583828775267,1.74,MGuberl1
1393,89,0.881633714880333,1.86,MGuberl1
1393,89,0.8868227731864096,1.98,MGuberl1
1393,89,0.8836734693877552,2.1,MGuberl1
1393,89,0.8758217677136596,2.22,MGuberl1
1393,89,0.8666995397764629,2.34,MGuberl1
1393,89,0.8597560975609756,2.46,MGuberl1
1393,89,0.8530286641427799,2.58,MGuberl1
1393,89,0.8466666666666667,2.7,MGuberl1
1393,89,0.8451788139429606,2.82,MGuberl1
1393,89,0.8423573511037068,2.94,MGuberl1
1393,89,0.8390042291426374,3.06,MGuberl1
1393,89,0.834193663225347,3.18,MGuberl1
1393,89,0.826694214876033,3.3,MGuberl1
1393,89,0.8125577100646353,3.42,MGuberl1
1393,89,0.7979029014650962,3.54,MGuberl1
1393,89,0.7841306100510615,3.66,MGuberl1
1393,89,0.7701562106324011,3.78,MGuberl1
1393,89,0.7549112426035502,3.9,MGuberl1
1393,89,0.7406437959456449,4.02,MGuberl1
1393,89,0.7274732199117833,4.14,MGuberl1
1393,89,0.7141936123784963,4.26,MGuberl1
1393,89,0.6992869206230062,4.38,MGuberl1
1393,89,0.6847555555555556,4.5,MGuberl1
1393,89,0.6708972845336482,4.62,MGuberl1
1393,89,0.6590290017625381,4.74,MGuberl1
1393,89,0.6501295534217345,4.86,MGuberl1
1393,89,0.6418928726956017,4.98,MGuberl1
1393,89,0.634636678200692,5.1,MGuberl1
1393,89,0.6273616065530453,5.22,MGuberl1
1393,89,0.6209443252114631,5.34,MGuberl1
1393,89,0.6158072696534235,5.46,MGuberl1
1393,89,0.6108798705052607,5.58,MGuberl1
1393,89,0.6069529085872576,5.7,MGuberl1
1393,89,0.6038101817408864,5.82,MGuberl1
1393,89,0.601010101010101,5.94,MGuberl1
1393,89,0.5976619939221645,6.06,MGuberl1
1393,89,0.5943302856065604,6.18,MGuberl1
1393,89,0.5907709750566893,6.3,MGuberl1
1393,89,0.5873438728273211,6.42,MGuberl1
1393,89,0.5848203013214376,6.54,MGuberl1
1393,89,0.5834144955766577,6.66,MGuberl1
1393,89,0.5817213564100556,6.78,MGuberl1
1393,89,0.5798109640831758,6.9,MGuberl1
1393,89,0.5778727445394112,7.02,MGuberl1
1393,89,0.5755596356189535,7.14,MGuberl1
1393,89,0.5733727204425927,7.26,MGuberl1
1393,89,0.5712704078260294,7.38,MGuberl1
1393,89,0.569264,7.5,MGuberl1
1393,89,0.5672391344782689,7.62,MGuberl1
1393,89,0.5662820743945677,7.74,MGuberl1
1393,89,0.564768952858225,7.86,MGuberl1
1393,89,0.5629911244276103,7.98,MGuberl1
1393,89,0.5612620027434843,8.1,MGuberl1
1393,89,0.559259949917417,8.22,MGuberl1
1393,89,0.5577609854562393,8.34,MGuberl1
1393,89,0.5564735174287008,8.46,MGuberl1
1393,89,0.5556628685999315,8.58,MGuberl1
1393,89,0.5550535077288942,8.7,MGuberl1
1393,89,0.5543407839326207,8.82,MGuberl1
1393,89,0.553533624611504,8.94,MGuberl1
1393,89,0.5524538397438709,9.06,MGuberl1
1393,89,0.55119825708061,9.18,MGuberl1
1393,89,0.549885535900104,9.3,MGuberl1
1393,89,0.5483691021948152,9.42,MGuberl1
1393,89,0.5465863692100787,9.54,MGuberl1
1393,89,0.5451082134176922,9.66,MGuberl1
1393,89,0.5434623056946065,9.78,MGuberl1
1393,89,0.5413406795224978,9.9,MGuberl1
1393,89,0.5388952633654845,10.02,MGuberl1
1393,89,0.536614614334232,10.14,MGuberl1
1393,89,0.5348141308436783,10.26,MGuberl1
1393,89,0.5327358080791206,10.38,MGuberl1
1393,89,0.5309795918367347,10.5,MGuberl1
1393,89,0.5295413195441923,10.62,MGuberl1
1393,89,0.5280812084516713,10.74,MGuberl1
1393,89,0.5268154207747017,10.86,MGuberl1
1393,89,0.5255904924004897,10.98,MGuberl1
1393,89,0.5244704163623083,11.1,MGuberl1
1393,89,0.5232348651662901,11.22,MGuberl1
1393,89,0.5221368382744044,11.34,MGuberl1
1393,89,0.5211068775526987,11.46,MGuberl1
1393,89,0.5202220193830707,11.58,MGuberl1
1393,89,0.5195463510848126,11.7,MGuberl1
1393,89,0.5189131387049396,11.82,MGuberl1
1393,89,0.5182697406631146,11.94,MGuberl1
