SiteCode,effort_ha,Ntotal,S_obs,tif.path,k,d
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.2499999999999999,5.967120419002662
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.19999999999999996,7.019993706108839
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.1499999999999999,8.437688829859209
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.09999999999999987,10.680655324893364
MGuberl7,1,945,73,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl7.tif,0.05,16.17155177321006
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.99,0.6950367991821341
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.95,0.9869666990167981
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.8999999999999999,1.2108503689133856
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.85,1.3872409772061394
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.7999999999999999,1.5761940672683308
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.75,1.7498656770040149
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.7,1.93510422697003
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.6499999999999999,2.134771632905892
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.5999999999999999,2.3385436893153533
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.5499999999999999,2.5698159328301777
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.49999999999999994,2.8194031170542697
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.44999999999999996,3.1246699289915263
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.3999999999999999,3.4522294745460744
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.34999999999999987,3.852987034908674
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.29999999999999993,4.3077103990536605
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.2499999999999999,4.955921463395207
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.19999999999999996,5.7509945834461895
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.1499999999999999,7.007642904039355
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.09999999999999987,8.951711963248407
MGvico4,1,1371,131,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGvico4.tif,0.05,13.320030690043225
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.99,0.8260153532594998
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.95,1.166459840954867
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.8999999999999999,1.4400802561789188
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.85,1.680856519826654
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.7999999999999999,1.887611637551948
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.75,2.0937451332716517
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.7,2.3101611017806705
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.6499999999999999,2.558733778380833
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.5999999999999999,2.800005054042941
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.5499999999999999,3.0878131889810683
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.49999999999999994,3.384384215288453
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.44999999999999996,3.7502896800529824
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.3999999999999999,4.103136041215913
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.34999999999999987,4.632930180925772
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.29999999999999993,5.219483481311643
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.2499999999999999,5.962434693841832
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.19999999999999996,6.861189195430867
MGuberl6,1.04,994,79,dados/paisagens/paisagens_mapbiomas6_padronizadas/MGuberl6.tif,0.1499999999999999,8.364240629878378
