taxaU,SiteCode,k,land_type,nCongKS,Smed,Ssd,Smin,Smax
contemp,BAuruc,0.09999999999999988,non_frag,89,459.91,17.137645371779897,422,497
contemp,BAuruc,0.1499999999999999,contemp,88,452.29,17.04260555315425,417,490
contemp,BAuruc,0.1499999999999999,ideal,95,455.98,15.023873258143777,414,487
contemp,BAuruc,0.1499999999999999,non_frag,92,456.83,17.36887672786812,410,490
contemp,BAuruc,0.19999999999999996,contemp,89,451.29,15.31177337999763,422,491
contemp,BAuruc,0.19999999999999996,ideal,86,453.6,17.443125472879746,418,491
contemp,BAuruc,0.19999999999999996,non_frag,88,451.46,18.772115576895516,410,494
contemp,BAuruc,0.2499999999999999,contemp,89,460.03,17.338259789415215,406,512
contemp,BAuruc,0.2499999999999999,ideal,87,457.64,16.83041978986354,407,499
contemp,BAuruc,0.2499999999999999,non_frag,88,458.39,17.593556556968018,419,511
contemp,BAuruc,0.29999999999999993,contemp,89,463.95,16.70321749686194,425,500
contemp,BAuruc,0.29999999999999993,ideal,91,462.1,18.057987404218363,404,510
contemp,BAuruc,0.29999999999999993,non_frag,86,462.66,18.55552410328188,415,513
contemp,BAuruc,0.34999999999999987,contemp,92,455.25,16.844730615089976,421,503
contemp,BAuruc,0.34999999999999987,ideal,85,456.19,16.87787087438831,420,502
contemp,BAuruc,0.34999999999999987,non_frag,91,456.58,14.677117488722974,417,491
contemp,BAuruc,0.3999999999999999,contemp,69,458.44,15.929973019564107,419,497
contemp,BAuruc,0.3999999999999999,ideal,76,457.63,15.935891134876213,420,491
contemp,BAuruc,0.3999999999999999,non_frag,62,456.77,16.273455488474276,425,487
contemp,BAuruc,0.45,contemp,72,457.42,17.418891404959666,414,500
contemp,BAuruc,0.45,ideal,69,456.34,18.72621454301726,415,505
contemp,BAuruc,0.45,non_frag,75,456.68,15.00496887397941,422,497
contemp,BAuruc,0.49999999999999994,contemp,68,455.63,17.574462073466634,417,502
contemp,BAuruc,0.49999999999999994,ideal,58,454.59,18.019683401741272,408,504
contemp,BAuruc,0.49999999999999994,non_frag,74,456.33,15.465213489726816,419,501
contemp,BAuruc,0.5499999999999999,contemp,68,461.81,17.21620976835142,407,500
contemp,BAuruc,0.5499999999999999,ideal,69,463,14.552586635295382,427,503
contemp,BAuruc,0.5499999999999999,non_frag,77,458.4,15.27591356854101,423,499
contemp,BAuruc,0.5999999999999999,contemp,76,453.62,16.931698799660484,406,500
contemp,BAuruc,0.5999999999999999,ideal,73,455.55,14.962157652429733,418,498
contemp,BAuruc,0.5999999999999999,non_frag,61,456.35,18.164998533365527,411,497
contemp,BAuruc,0.6499999999999999,contemp,66,455.03,15.41510147664794,419,491
contemp,BAuruc,0.6499999999999999,ideal,72,454.07,15.19453317426496,418,488
contemp,BAuruc,0.6499999999999999,non_frag,71,455.37,16.864675292672334,414,500
contemp,BAuruc,0.7,contemp,72,460.66,16.384409934107754,419,509
contemp,BAuruc,0.7,ideal,79,461.31,17.69933800051758,425,503
contemp,BAuruc,0.7,non_frag,71,460.32,16.67871079968095,407,504
contemp,BAuruc,0.75,contemp,73,454.94,18.68603973045334,397,505
contemp,BAuruc,0.75,ideal,78,454.5,17.95983172403226,403,501
contemp,BAuruc,0.75,non_frag,78,455.5,17.56517445217535,411,492
contemp,BAuruc,0.7999999999999999,contemp,75,452.82,16.803907674446236,404,490
contemp,BAuruc,0.7999999999999999,ideal,75,454.38,16.665321157809387,415,500
contemp,BAuruc,0.7999999999999999,non_frag,73,453.42,14.979568576814046,418,492
contemp,BAuruc,0.85,contemp,74,461.06,18.794379129641044,422,507
contemp,BAuruc,0.85,ideal,85,459.33,17.399091465889356,420,519
contemp,BAuruc,0.85,non_frag,83,458.77,16.639283565579305,422,499
contemp,BAuruc,0.8999999999999999,contemp,87,461.78,16.91964371475781,413,505
contemp,BAuruc,0.8999999999999999,ideal,85,459.77,14.412294835460536,426,509
contemp,BAuruc,0.8999999999999999,non_frag,86,461.12,14.314843606367045,432,496
contemp,BAuruc,0.95,contemp,81,453.43,15.991951890014091,413,495
contemp,BAuruc,0.95,ideal,84,457.18,15.464772611299265,420,500
contemp,BAuruc,0.95,non_frag,73,453.48,17.39585460895088,404,495
contemp,BAuruc,0.99,contemp,80,458.28,16.978346280608204,397,503
contemp,BAuruc,0.99,ideal,84,454.69,15.34630215716444,420,488
contemp,BAuruc,0.99,non_frag,76,455.61,15.139682955729292,420,506
contemp,ESsoor,0.05,contemp,98,267.63,11.390812352971409,236,301
contemp,ESsoor,0.05,ideal,98,267.51,13.332193133066058,239,304
contemp,ESsoor,0.05,non_frag,97,270.04,12.43806474277468,243,307
contemp,ESsoor,0.09999999999999988,contemp,96,266.75,12.698822819856217,228,297
contemp,ESsoor,0.09999999999999988,ideal,96,268.18,11.432171510896145,243,294
contemp,ESsoor,0.09999999999999988,non_frag,100,269,13.16944734733935,243,302
contemp,ESsoor,0.1499999999999999,contemp,97,265.83,13.333374999934897,233,298
contemp,ESsoor,0.1499999999999999,ideal,97,267.68,13.060759332574593,234,303
contemp,ESsoor,0.1499999999999999,non_frag,99,265.38,12.8005523870707,229,296
contemp,ESsoor,0.19999999999999996,contemp,98,266.94,13.39592882524049,240,297
contemp,ESsoor,0.19999999999999996,ideal,99,268.13,12.097795942512283,234,299
contemp,ESsoor,0.19999999999999996,non_frag,97,268.18,12.343877556558683,237,311
contemp,ESsoor,0.2499999999999999,contemp,96,260.5,11.211015506494881,231,292
contemp,ESsoor,0.2499999999999999,ideal,98,264.59,13.25819357867794,235,302
contemp,ESsoor,0.2499999999999999,non_frag,99,260.34,12.78036688744802,209,295
contemp,ESsoor,0.29999999999999993,contemp,100,266.51,13.004657285415526,232,296
contemp,ESsoor,0.29999999999999993,ideal,99,267.48,13.379073060552287,236,305
contemp,ESsoor,0.29999999999999993,non_frag,100,264.63,11.771953486524184,233,292
contemp,ESsoor,0.34999999999999987,contemp,99,266.85,13.237057715734904,237,299
contemp,ESsoor,0.34999999999999987,ideal,94,265.68,12.78957909132796,235,292
