SiteCode,land_type,k,Umed,Usd
BAlenc4,cont,0.2499999999999999,0.01561695,9.334865651000138e-4
BAlenc4,cont,0.19999999999999996,0.01268897,5.99987683299508e-4
BAlenc4,cont,0.1499999999999999,0.010608091,6.67386095424197e-4
BAlenc4,cont,0.09999999999999988,0.007679571,3.270830574928773e-4
BAlenc4,cont,0.05,0.006033258,2.626074754711552e-4
BAlenc4,ideal,0.99,0.008182144,1.0871127072305945e-4
BAlenc4,ideal,0.95,0.007781696,2.928187365817521e-4
BAlenc4,ideal,0.8999999999999999,0.007817111,3.150256312482103e-4
BAlenc4,ideal,0.85,0.02271527,0.0010074713197461818
BAlenc4,ideal,0.7999999999999999,0.02094113,0.0014573565018362682
BAlenc4,ideal,0.75,0.02188283,0.0014412596096239347
BAlenc4,ideal,0.7,0.022372490000000002,3.4032432717433903e-4
BAlenc4,ideal,0.6499999999999999,0.02186304,0.0013713942712112778
BAlenc4,ideal,0.5999999999999999,0.02083498,7.05473049804172e-4
BAlenc4,ideal,0.5499999999999999,0.01894605,9.151296401785559e-4
BAlenc4,ideal,0.49999999999999994,0.01949731,0.0010187016840076404
BAlenc4,ideal,0.45,0.018700810000000002,6.092555574907242e-4
BAlenc4,ideal,0.3999999999999999,0.01903645,5.43568311663258e-4
BAlenc4,ideal,0.34999999999999987,0.01620962,3.679225697525683e-4
BAlenc4,ideal,0.29999999999999993,0.01518328,0.0010964615044162136
BAlenc4,ideal,0.2499999999999999,0.01491432,8.3708955023409e-4
BAlenc4,ideal,0.19999999999999996,0.01233332,9.399843057791502e-4
BAlenc4,ideal,0.1499999999999999,0.009156251,7.612223549798777e-4
BAlenc4,ideal,0.09999999999999988,0.006196378,2.8568543566501805e-4
BAlenc4,ideal,0.05,0.005171383,2.0167135256539425e-4
BAlenc4,non_frag,0.99,0.008097197,1.4036169531685702e-4
BAlenc4,non_frag,0.95,0.008364187,3.7987466409769105e-4
BAlenc4,non_frag,0.8999999999999999,0.00804912,1.697916526543959e-4
BAlenc4,non_frag,0.85,0.02219781,6.733521621954838e-4
BAlenc4,non_frag,0.7999999999999999,0.02220716,6.045738006599727e-4
BAlenc4,non_frag,0.75,0.02143716,0.0011745300858925095
BAlenc4,non_frag,0.7,0.02231973,0.0010392108063868042
BAlenc4,non_frag,0.6499999999999999,0.02227154,5.990004900758535e-4
BAlenc4,non_frag,0.5999999999999999,0.02251968,3.889306416316408e-4
BAlenc4,non_frag,0.5499999999999999,0.01873719,0.0010379395427159203
BAlenc4,non_frag,0.49999999999999994,0.01909989,0.0010968299781643456
BAlenc4,non_frag,0.45,0.01883734,8.553735807626206e-4
BAlenc4,non_frag,0.3999999999999999,0.01936754,0.0017207278893925483
