contraste,tipo,Uefeito,Q_0.05,Q_0.5,Q_0.95
Área per se,apenas fixo,0.3795598742288877,-1.8411737511721793,-1.3882537383030968,-0.9264326717525333
Área per se,apenas fixo,0.38619810744073524,-1.896593398395703,-1.4385877755741578,-0.9710375434927129
Área per se,apenas fixo,0.39283634065258277,-1.9476643617328675,-1.4880506907608648,-1.0183293391653667
Área per se,apenas fixo,0.3994745738644303,-1.999805353229892,-1.5391135975551444,-1.0661921668805074
Área per se,apenas fixo,0.40611280707627784,-2.053323452263755,-1.5880560247573778,-1.1155361547428462
Área per se,apenas fixo,0.41275104028812537,-2.1054950176559517,-1.638862255666507,-1.1650032061860172
Área per se,apenas fixo,0.4193892734999729,-2.155388984183574,-1.6882643328773541,-1.2137320834590963
Área per se,apenas fixo,0.42602750671182044,-2.211567198917315,-1.738626890460234,-1.2588060624360995
Área per se,apenas fixo,0.43266573992366797,-2.264181808960054,-1.7902617417691484,-1.3037773819244844
Área per se,apenas fixo,0.4393039731355155,-2.319416086337093,-1.8418560422619505,-1.3499136570134347
Área per se,apenas fixo,0.44594220634736303,-2.3767325525781526,-1.8937770405918486,-1.3971133570511014
Área per se,apenas fixo,0.45258043955921057,-2.4319536507855277,-1.9414390189035866,-1.4432587732858182
Área per se,apenas fixo,0.4592186727710581,-2.490450052137188,-1.989830728135158,-1.4869736477167723
Área per se,apenas fixo,0.46585690598290563,-2.5518523737790204,-2.0401186910813918,-1.5312893132022214
Área per se,apenas fixo,0.47249513919475317,-2.614501108313792,-2.0884398888090066,-1.5728049701281444
Área per se,apenas fixo,0.4791333724066007,-2.6768658557975153,-2.139654119061075,-1.6123325781957325
Área per se,apenas fixo,0.48577160561844823,-2.745187386135531,-2.189912410743641,-1.6523249139788316
Área per se,apenas fixo,0.49240983883029565,-2.812832897543175,-2.243440485429868,-1.695317985078655
Área per se,apenas fixo,0.4990480720421432,-2.8751863409141762,-2.2981807796328426,-1.7365023888588873
Área per se,apenas fixo,0.5056863052539907,-2.9451716030521986,-2.3511316045101864,-1.7702383035269862
Área per se,apenas fixo,0.5123245384658383,-3.014096999679959,-2.404914767742506,-1.8160901286028859
Área per se,apenas fixo,0.5189627716776858,-3.080897591073015,-2.459627124991189,-1.8569006798644196
Área per se,apenas fixo,0.5256010048895333,-3.1486911650216722,-2.515857484835787,-1.8914510440730083
Área per se,apenas fixo,0.5322392381013809,-3.2243490635087024,-2.569456257406083,-1.9231523254296412
Área per se,apenas fixo,0.5388774713132284,-3.3014106650296693,-2.625800391799048,-1.9539835050210108
Área per se,apenas fixo,0.5455157045250759,-3.3801435141235148,-2.676443102840001,-1.9836474406260005
Área per se,apenas fixo,0.5521539377369235,-3.458519004531305,-2.732437432779563,-2.0171368083762915
Área per se,apenas fixo,0.558792170948771,-3.532366676289782,-2.782709624290324,-2.0441861259108443
Área per se,apenas fixo,0.5654304041606185,-3.608839597036976,-2.8365631810551495,-2.07233854732506
Área per se,apenas fixo,0.572068637372466,-3.692567981132157,-2.8893037727100888,-2.1016677447243377
Área per se,apenas fixo,0.5787068705843136,-3.769368094463057,-2.943018884981242,-2.1241522419510455
Área per se,apenas fixo,0.5853451037961611,-3.851768165873346,-2.99668332542341,-2.14603917945665
Área per se,apenas fixo,0.5919833370080086,-3.928744949134378,-3.051600294217865,-2.1696525768254036
Área per se,apenas fixo,0.5986215702198562,-4.00221903892499,-3.1061064886051972,-2.193511212415135
Área per se,apenas fixo,0.6052598034317036,-4.083586538504522,-3.1587012223134407,-2.2270937949048495
Área per se,apenas fixo,0.6118980366435511,-4.164558817319575,-3.2154691658353536,-2.250758621987879
Área per se,apenas fixo,0.6185362698553987,-4.246102567718896,-3.2689046295920807,-2.27889032373227
Área per se,apenas fixo,0.6251745030672462,-4.330735913034786,-3.319920387806212,-2.306089814742853
Área per se,apenas fixo,0.6318127362790937,-4.419288814464181,-3.3686488508570442,-2.32765870699376
Área per se,apenas fixo,0.6384509694909413,-4.509806243391583,-3.4202708776422743,-2.347338156081797
Área per se,apenas fixo,0.6450892027027888,-4.589836246442224,-3.475494925655025,-2.365726101717192
Área per se,apenas fixo,0.6517274359146363,-4.683700203379283,-3.5309002787931196,-2.3906617098653427
Área per se,apenas fixo,0.6583656691264839,-4.771021640004568,-3.5885615598092655,-2.4072768150809845
Área per se,apenas fixo,0.6650039023383314,-4.853550938046992,-3.644060061141969,-2.4213418950628185
Área per se,apenas fixo,0.6716421355501789,-4.9351299735271095,-3.696614045841016,-2.437329546502525
Área per se,apenas fixo,0.6782803687620265,-5.027158360381659,-3.7489703427307433,-2.452446918023366
Área per se,apenas fixo,0.684918601973874,-5.121515522387771,-3.8039228253453437,-2.4720012623375744
Área per se,apenas fixo,0.6915568351857215,-5.214623693766616,-3.859680546789601,-2.4879631510044895
Área per se,apenas fixo,0.6981950683975691,-5.30516582141112,-3.917537214032143,-2.5130745800377094
Área per se,apenas fixo,0.7048333016094165,-5.394983623647667,-3.9772375811906104,-2.527137220558612
Área per se,apenas fixo,0.711471534821264,-5.49341544337554,-4.033242026200626,-2.5463227594340108
Área per se,apenas fixo,0.7181097680331116,-5.588398315620014,-4.085302109364269,-2.5618802373821215
